Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
1,0,2,75236,Khyber,2850000,1,1,1999
1,0,2,59000,Cultus0VXR,865000,1,1,2013
1,0,2,45321,FX,120000,1,1,1985
1,0,1,80000,Carry,825000,1,1,2012
4,0,1,88000,Hijet,810000,1,1,2012
2,0,1,75236,Vitz,85000000,1,1,2009
6,0,2,45321,Lancer,75000000,1,1,2005
1,0,2,45321,FX,120000,1,1,1988
4,1,1,60000,Mira,920000,1,1,2014
3,1,1,139000,Acty,625000,1,1,2010
3,1,1,69000,Civic0VTi0Oriel0Prosmatec,185000000,1,1,2014
4,0,2,23456,Cuore,320000,1,1,2000
1,1,1,19800,Cultus0VXL,1400000,1,1,2018
1,0,2,52345,Bolan,330000,1,1,1997
16,0,1,69000,Other,6850000,1,1,2006
2,0,1,150000,Corolla0XE,565000,1,1,1992
10,0,1,44400,Moco,1220000,1,1,2014
4,1,1,28000,Mira,11700000,1,1,2017
1,0,1,90000,Mehran0VX,140000,1,1,2006
2,0,1,74516,Corolla0GLI,1315000,1,1,2011
1,0,2,200000,Khyber,200000,1,1,1992
1,0,1,333333,Khyber,235000,1,1,1989
1,0,2,75236,Mehran0VX,300000,1,1,2005
1,0,2,89300,Alto,534999,1,1,2010
1,0,1,71000,Alto,520000,1,1,2008
1,0,2,125000,Cultus0VXR,400000,1,1,2000
4,0,1,22000,Mira,11700000,1,1,2014
1,0,1,78000,Cultus0VXR,7700000,1,1,2012
1,0,1,45321,Mehran0VXR,2850000,1,1,1993
1,0,2,45321,Khyber,240000,1,1,1995
1,0,1,750000,Every,820000,1,1,2010
1,1,2,97500,Khyber,3850000,1,1,1997
3,0,2,120000,City0IDSI,530000,1,1,2002
5,1,2,198000,Pride,2500000,1,1,1996
1,0,2,45321,Margalla,2850000,1,1,1997
1,0,2,75236,Khyber,235000,1,1,1990
2,0,1,84000,Corolla0GLI,1125000,1,1,2011
1,0,1,20000,Wagon0R,12850000,1,1,2017
2,1,4,30500,Aqua,1865000,1,1,2014
1,0,2,75236,Bolan,3500000,1,1,1997
1,0,1,75236,Baleno,425000,1,1,2003
3,0,1,44000,City0IVTEC,1425000,1,1,2013
2,0,1,225000,Premio,1225000,1,1,2003
1,0,1,10000,Every,8850000,1,1,2011
1,0,2,10000,Mehran0VXR,210000,1,1,2005
12,1,1,32999,Smart,1865000,1,1,2015
2,0,1,112360,86,3700000,1,1,1982
2,1,1,11000,Corolla0XLI,1830000,1,1,2017
2,0,1,86000,Corolla0XLI,11500000,1,1,2010
1,1,2,70000,Cultus0VXR,6850000,1,1,2010
10,0,1,90026,March,6850000,1,1,2006
4,0,1,43500,Mira,1100000,1,1,2014
1,1,2,45321,Bolan,520000,1,1,2007
2,0,2,80000,Corolla0GLI,14850000,1,1,2012
3,0,2,146000,Civic0VTi,85000000,1,1,2005
3,0,1,170000,Civic0Prosmetic,6850000,1,1,2002
2,0,1,53001,Corolla0XLI,15750000,1,1,2014
16,1,1,75236,Other,635000,1,1,2008
1,0,1,42500,Wagon0R,1025000,1,1,2016
2,0,1,1020000,Corolla0GLI,10850000,1,1,2008
10,0,1,9999,Sunny,5000000,1,1,1998
9,0,1,78000,Demio,812000,1,1,2007
1,0,4,111111,Mehran0VX,199000,1,1,2003
5,0,2,45321,Sportage,845000,1,1,2005
3,0,2,386700,City0IDSI,3850000,1,1,1998
2,1,1,81000,Corolla0XLI,11850000,1,1,2009
1,1,2,75000,Bolan,4850000,1,1,2008
1,0,2,88000,Alto,5000000,1,1,2009
1,0,2,45321,Mehran0VXR,2850000,1,1,2007
1,0,1,63456,Bolan,420000,1,1,2003
2,0,1,125000,Corona,240000,1,1,1973
2,0,1,21000,Passo,15850000,1,1,2015
4,0,2,45321,Charade,25500000,1,1,1987
2,1,1,65000,Vitz,1400000,1,1,2012
1,0,2,60000,Cultus0VXR,665000,1,1,2011
2,0,1,78500,Vitz,1100000,1,1,2009
6,0,2,170000,Lancer,400000,1,1,1997
1,0,1,31258,Mehran0VXR,5850000,1,1,2014
3,0,1,75236,Civic0VTi0Oriel0Prosmatec,75000000,1,1,2004
1,0,2,185252,Alto,3850000,1,1,2006
2,0,4,86000,Aqua,18500000,1,1,2014
2,0,2,152400,Corolla0GLI,8500000,1,1,1998
3,0,1,70000,City0IVTEC,1396000,1,1,2013
3,0,1,83000,Civic0VTi0Oriel0Prosmatec,10850000,1,1,2011
1,0,1,45321,Cultus0VXR,6500000,1,1,2009
3,0,1,123456,Civic0Prosmetic,840000,1,1,2005
1,0,1,28000,Alto,1215000,1,1,2014
3,0,1,73000,Accord,9850000,1,1,2003
2,0,1,2222,Passo,7850000,1,1,2006
1,1,1,98525,Every0Wagon,1320000,1,1,2012
1,0,1,80000,Cultus0VXR,4850000,1,1,2004
4,0,1,113000,Cuore,55500000,1,1,2005
1,0,2,569803,FX,100000,4,1,1987
1,0,1,66000,Swift,10500000,1,1,2012
3,0,1,124000,Civic04,696000,1,1,2005
1,0,2,71000,Cultus0VXR,7850000,1,1,2011
1,0,2,34567,Mehran0VX,1850000,1,1,1991
1,0,1,60000,Alto,635000,1,1,2012
3,0,1,175000,Civic0EXi,75000000,1,1,2005
3,0,1,110000,City0IDSI,935000,1,1,2008
3,0,1,124000,Accord,11500000,1,1,2007
1,0,2,77000,Swift,930000,1,1,2010
4,0,1,40000,Mira,11850000,1,1,2015
10,0,2,120000,AD0Van,8850000,1,1,2007
1,1,1,98552,Every0Wagon,1320000,1,1,2012
1,0,2,45321,Mehran0VXR,210000,1,1,2005
1,0,2,150000,Mehran0VX,305000,1,1,2004
1,0,2,75236,Alto,3500000,1,1,2005
1,0,2,95000,Alto,4500000,1,1,2007
2,0,1,95000,Duet,530000,1,1,2002
1,0,1,45321,Liana,4850000,1,1,2008
4,0,1,72400,Mira,745000,1,1,2006
3,0,1,96000,Civic0VTi,945000,1,1,2006
4,0,2,8886,Charade,1850000,1,1,1984
10,0,2,45321,Sunny,120000,1,1,1985
2,0,1,45321,Passo,85000000,1,1,2013
2,0,1,90000,Corolla0XLI,8850000,1,1,2006
1,0,2,196000,Alto,3750000,1,1,2004
1,1,2,64532,Liana,540000,1,1,2006
6,0,2,122000,Lancer,6850000,1,1,2005
2,0,1,24000,Corrolla0Altis,275000000,1,1,2017
1,0,1,46600,Mehran0VXR,8500000,1,1,2015
3,0,4,32000,Vezel,3200000,1,1,2014
2,0,2,82000,Corolla0XLI,835000,1,1,2006
1,1,2,103000,Alto,413000,1,1,2005
2,0,2,150000,Corolla0XLI,1140000,1,1,2011
1,0,2,90000,Bolan,300000,1,1,1990
1,0,2,75236,Alto,55000000,1,1,2008
1,1,1,53000,Cultus0VXR,85000000,1,1,2014
1,0,2,78454,Alto,6750000,1,1,2012
3,0,1,91000,Civic0Prosmetic,85000000,1,1,2005
1,0,2,60000,Bolan,300000,1,1,1994
2,0,1,125000,Vitz,935000,1,1,2007
8,0,2,45321,Santro,4850000,1,1,2004
1,1,2,90000,Alto,320000,1,1,2001
2,1,1,51000,Vitz,10850000,1,1,2010
1,0,2,123654,Khyber,2500000,1,1,1996
3,0,2,19000,City0IDSI,75000000,1,1,2005
4,0,1,149980,Cuore,4850000,1,1,2005
3,0,1,60950,City0Aspire,1469000,1,1,2013
4,0,2,45321,Charade,140000,1,1,1983
