Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
4,0,2,200000,Charade,130000,1,1,1983
8,0,2,80000,Santro,365000,1,1,2006
2,0,1,30000,Corolla GLI,300000,1,2,2012
3,0,1,25000,BR-V,500000,1,2,2013
8,0,1,10010,Santro,330000,1,1,2005
1,0,2,110000,Cultus VXR,510000,1,1,2000
10,0,1,30000,Dayz Highway Star,1450000,1,1,2016
1,0,1,82000,Kei,995000,1,1,2015
2,0,1,97000,Probox,1100000,1,1,2007
4,0,2,100000,Charade,130000,1,1,1991
4,1,1,127111,Hijet,785000,1,1,2012
2,0,2,786786,86,195000,1,1,1986
1,0,2,55000,Alto,300000,1,1,2012
1,0,2,99000,Mehran VX,315000,1,1,2007
4,0,1,75000,Hijet,690000,1,1,2010
3,0,1,100000,Civic VTi Oriel Prosmatec,1750000,1,1,2013
1,0,2,500000,Bolan,490000,1,1,2007
4,0,1,20000,Mira,1260000,1,1,2015
3,0,1,82500,Civic VTi Oriel Prosmatec,1079000,1,1,2007
1,0,2,140000,Cultus VXR,530000,1,1,2006
1,0,2,200000,FX,90000,1,1,1983
4,0,2,1525555,Charade,150000,1,1,1984
1,0,1,78000,Alto,550000,1,1,2008
1,0,1,33937,Other,260000,1,1,1993
3,0,1,126000,City IDSI,600000,1,1,2005
4,0,2,100000,Charade,245000,1,1,1986
1,0,2,155000,Baleno,500000,1,1,2005
1,0,1,96000,Alto,1040000,1,1,2015
1,0,2,112000,Alto,580000,1,1,2010
3,0,1,150000,Civic EXi,600000,1,1,2001
2,0,1,60000,Passo,975000,1,1,2008
4,0,2,150000,Cuore,340000,1,1,2007
4,0,2,95000,Cuore,465000,1,1,2005
4,0,2,85236,Cuore,150000,1,1,1993
2,0,1,74000,Vitz,910000,1,1,2005
2,0,1,25000,Yaris,280000,1,2,2015
2,0,4,56000,Aygo,1975000,1,1,2014
1,0,1,62000,Cultus VXR,860000,1,1,2014
2,0,1,74000,Rush,1600000,1,1,2007
4,0,1,80000,Hijet,725000,1,1,2015
1,1,2,356425,Margalla,240000,1,1,1993
1,0,2,52000,FX,140000,1,1,1985
2,0,4,120000,Prius,2000000,1,1,2010
3,0,1,89000,Civic VTi Oriel Prosmatec,2325000,1,1,2016
10,0,1,44000,Dayz,1120000,1,1,2015
2,0,1,125000,Vitz,950000,1,1,2008
1,0,1,57000,Alto,960000,1,1,2016
2,0,1,35000,Fortuner,210000,1,2,2011
4,1,1,29800,Mira,1140000,1,1,2015
2,0,2,99000,Corolla GLI,1135000,1,1,2009
